"","id","Station","Divisions","Region","Total_MAH","Total_DN","Total_kidnap","Total_REHi","Total_Burglary","Total_Theft","Total_Fraud","Total_Drug","Total_weapon","Total_PDE","Total_poSo","Total_AgainstGVT","Total_crime","crime_rate"
"377",20219,"Lismore","waterforddivision",NA,97,66,0,2,198,232,26,38,14,162,190,20,2090,0.031
"378",20449,"Lissycasey","claredivision",NA,62,80,0,1,71,136,17,33,7,100,68,6,1162,0.017
"379",20404,"Listowel","kerrydivision",NA,564,542,0,20,422,1019,75,557,109,700,3407,333,15496,0.233
"380",20250,"Littleton","tipperarydivision",NA,46,62,0,2,135,266,12,54,16,149,119,20,1762,0.027
"381",20411,"Lixnaw","kerrydivision",NA,64,74,0,0,75,113,9,50,12,91,101,13,1204,0.018
"382",2096,"Longford","roscommon/longforddivision",NA,1091,973,7,84,1486,3683,385,955,201,1944,2873,451,28266,0.425
"383",2068,"Longwood","meathdivision",NA,69,40,0,8,200,332,6,24,7,158,74,12,1860,0.028
"384",20133,"Lorrha","tipperarydivision",NA,24,19,1,2,62,96,4,2,3,40,108,1,724,0.011
"385",20490,"Loughrea","galwaydivision",NA,533,488,1,9,438,1235,185,206,43,746,1828,184,11792,0.177
"386",20590,"Louisburgh","mayodivision",NA,48,50,1,0,69,137,8,20,5,134,37,3,1024,0.015
"387",2057,"Louth","louthdivision",NA,69,58,1,6,196,306,13,9,6,187,76,19,1892,0.028
"388",2010,"Lucan","d.m.r. westerndivision",NA,847,1239,22,277,2585,8740,548,1022,196,3704,2574,337,44182,0.665
"389",2074,"Lusk","d.m.r. northerndivision",NA,423,604,2,79,1032,3176,99,269,63,1047,745,113,15304,0.23
"390",20361,"Macroom","cork westdivision",NA,321,408,0,13,276,831,155,395,39,491,1361,101,8782,0.132
"391",20499,"Maigh Cuilinn","galwaydivision",NA,46,72,0,2,135,212,13,35,4,113,71,9,1424,0.021
"392",2024,"Malahide","d.m.r. northerndivision",NA,650,426,5,180,2427,5491,298,729,101,3062,2353,117,31678,0.477
"393",20320,"Mallow","cork northdivision",NA,896,918,4,28,573,2245,224,1105,143,1214,3419,369,22276,0.335
"394",20612,"Manorhamilton","sligo/leitrimdivision",NA,173,157,0,2,192,567,54,62,36,288,479,44,4108,0.062
"395",20298,"Mayfield","cork citydivision",NA,558,580,4,86,536,2234,106,705,118,2203,1919,169,18436,0.277
"396",20145,"Maynooth","kildaredivision",NA,591,497,2,130,1618,4007,209,184,31,1515,1476,52,20624,0.31
"397",20418,"Mayorstone Park","limerickdivision",NA,1629,1147,14,316,2404,7601,292,2278,875,6968,5054,1660,60476,0.91
"398",20328,"Midleton","cork northdivision",NA,457,903,3,13,560,1944,214,987,62,1101,2043,297,17168,0.258
"399",20324,"Milford Co Cork","cork northdivision",NA,32,35,2,2,59,100,2,12,4,54,47,4,706,0.011
"400",20636,"Milford","donegaldivision",NA,203,102,2,3,54,205,22,28,9,177,596,21,2844,0.043
"401",20374,"Millstreet Co. Cork","cork westdivision",NA,155,104,0,1,114,347,28,347,9,209,339,16,3338,0.05
"402",20545,"Milltown","galwaydivision",NA,14,55,1,0,42,112,14,5,2,30,22,5,604,0.009
"403",20474,"Miltown Malbay","claredivision",NA,126,97,1,1,138,339,13,88,9,269,257,37,2750,0.041
"404",20317,"Mitchelstown","cork northdivision",NA,242,290,1,5,327,780,118,766,34,492,891,72,8036,0.121
"405",2094,"Moate","westmeathdivision",NA,129,178,0,12,330,471,42,58,19,283,249,14,3570,0.054
"406",20610,"Mohill","sligo/leitrimdivision",NA,175,186,3,3,289,463,35,40,22,339,655,30,4480,0.067
"407",20662,"Monaghan","cavan/monaghandivision",NA,1457,1706,4,17,559,2658,352,706,89,1749,3855,519,27342,0.411
"408",20149,"Monasterevin","kildaredivision",NA,262,136,1,37,526,1077,59,131,24,483,287,20,6086,0.092
"409",20279,"Moneygall","tipperarydivision",NA,16,52,0,1,76,80,2,7,1,28,48,2,626,0.009
"410",20481,"Monivea","galwaydivision",NA,40,27,2,0,54,57,2,6,0,21,82,5,592,0.009
"411",20210,"Mooncoin","kilkenny/carlowdivision",NA,62,68,0,4,132,208,12,40,8,127,120,14,1590,0.024
"412",20526,"Mountbellew","galwaydivision",NA,87,109,0,1,153,262,43,15,8,99,280,15,2144,0.032
"413",20697,"Mountcharles","donegaldivision",NA,29,69,0,0,53,86,6,13,5,64,168,5,996,0.015
"414",2034,"Mountjoy","d.m.r. north centraldivision",NA,1857,926,15,829,3763,11322,826,2124,517,5133,4864,1533,67418,1.015
"415",20112,"Mountmellick","laois/offalydivision",NA,364,168,3,22,503,946,64,219,76,703,532,58,7316,0.11
"416",20113,"Mountrath","laois/offalydivision",NA,209,150,2,17,520,599,39,57,18,363,184,31,4378,0.066
"417",20634,"Moville","donegaldivision",NA,230,122,2,2,172,300,51,74,29,327,292,21,3244,0.049
"418",20529,"Moylough","galwaydivision",NA,27,39,0,0,56,98,18,3,1,22,30,7,602,0.009
"419",20275,"Moyne","tipperarydivision",NA,14,14,0,1,64,95,2,18,6,27,16,2,518,0.008
"420",20635,"Muff","donegaldivision",NA,115,131,2,17,160,348,55,29,14,198,174,4,2494,0.038
"421",20159,"Muine Bheag","kilkenny/carlowdivision",NA,343,178,1,12,697,957,60,134,39,770,618,26,7670,0.115
"422",20684,"Mullagh","cavan/monaghandivision",NA,102,99,1,8,116,266,15,19,5,89,86,17,1646,0.025
"423",20253,"Mullinahone","tipperarydivision",NA,37,30,0,3,116,105,7,42,6,51,116,2,1030,0.016
"424",20241,"Mullinavat","kilkenny/carlowdivision",NA,31,49,0,2,101,187,9,37,6,69,40,25,1112,0.017
"425",2083,"Mullingar","westmeathdivision",NA,1561,1825,13,140,1910,6031,517,1517,249,3786,6090,1179,49636,0.747
"426",20109,"Multyfarnham","westmeathdivision",NA,31,50,0,2,146,265,6,26,3,91,51,2,1346,0.02
"427",20439,"Murroe","limerickdivision",NA,52,32,0,2,121,330,15,42,12,156,82,32,1752,0.026
"428",20158,"Myshall","kilkenny/carlowdivision",NA,40,34,0,4,92,130,5,16,4,57,26,9,834,0.013
"429",20661,"Na Cealla Beaga","donegaldivision",NA,175,114,0,2,100,203,52,131,19,148,661,15,3240,0.049
"430",20646,"Na Gleannta","donegaldivision",NA,158,90,0,0,43,130,15,37,17,126,1249,33,3796,0.057
"431",20141,"Naas","kildaredivision",NA,1375,1837,11,195,3418,8813,677,4360,209,3615,4418,1207,60270,0.907
"432",2078,"Navan","meathdivision",NA,1094,1546,9,200,2517,7158,370,1049,260,2918,3590,1007,43436,0.654
"433",20264,"Nenagh","tipperarydivision",NA,606,911,5,23,757,2033,162,874,129,858,2099,260,17434,0.262
"434",20192,"New Ross","wexforddivision",NA,709,621,3,29,1081,1890,175,539,89,1303,1907,162,17016,0.256
"435",20150,"Newbridge","kildaredivision",NA,1194,915,9,184,2380,4654,291,1085,152,2050,2631,165,31420,0.473
"436",20440,"Newcastle West","limerickdivision",NA,605,475,4,29,613,1761,140,268,90,1094,1463,295,13674,0.206
"437",20373,"Newmarket","cork westdivision",NA,135,128,0,5,148,306,32,88,10,171,480,9,3024,0.046
"438",20450,"Newmarket on Fergus","claredivision",NA,105,88,0,3,96,315,16,77,8,150,214,24,2192,0.033
"439",20587,"Newport Co Mayo","mayodivision",NA,52,74,0,2,105,213,18,31,10,123,118,11,1514,0.023
"440",20702,"Newport Co Tipperary","tipperarydivision",NA,83,119,0,7,224,538,27,100,20,215,204,29,3132,0.047
"441",20623,"Newtowncunningham","donegaldivision",NA,177,125,0,16,184,355,12,53,17,358,223,43,3126,0.047
"442",20202,"Newtownmountkennedy","wicklowdivision",NA,188,145,0,14,662,728,41,184,47,440,257,31,5474,0.082
"443",2063,"Nobber","meathdivision",NA,101,80,0,6,364,437,12,40,7,161,85,11,2608,0.039
"444",2062,"Oldcastle","meathdivision",NA,197,140,2,13,270,505,38,56,16,283,258,18,3592,0.054
"445",2056,"Omeath","louthdivision",NA,39,34,0,7,146,348,12,15,6,250,120,11,1976,0.03
"446",20286,"Oola","limerickdivision",NA,21,25,0,1,63,98,8,29,6,58,19,3,662,0.01
"447",20498,"Oughterard","galwaydivision",NA,82,51,0,0,120,267,16,22,1,149,112,16,1672,0.025
"448",20190,"Oulart","wexforddivision",NA,84,69,0,3,192,263,18,26,9,136,60,6,1732,0.026
"449",20189,"Oylegate","wexforddivision",NA,54,98,0,1,194,200,7,40,8,104,82,5,1586,0.024
"450",20437,"Pallasgreen","limerickdivision",NA,51,56,1,3,128,273,28,52,7,140,84,9,1664,0.025
"451",20425,"Pallaskenry","limerickdivision",NA,78,64,0,6,132,378,9,29,6,149,109,15,1950,0.029
"452",20555,"Partry","mayodivision",NA,36,72,0,0,87,175,9,3,6,64,52,3,1014,0.015
"453",20209,"Passage East","waterforddivision",NA,23,41,1,3,94,197,3,42,7,80,44,1,1072,0.016
"454",20297,"Passage West","cork citydivision",NA,256,113,0,4,182,565,21,128,12,563,345,40,4458,0.067
"455",20420,"Patrickswell","limerickdivision",NA,136,120,2,12,291,691,33,43,15,320,146,28,3674,0.055
"456",201,"Pearse Street","d.m.r. south centraldivision",NA,6094,1781,30,2314,7732,62793,3514,4597,1355,7169,32894,1807,264160,3.975
"457",20659,"Pettigo","donegaldivision",NA,21,6,0,0,29,55,3,6,1,33,31,2,374,0.006
"458",20257,"Piltown","kilkenny/carlowdivision",NA,60,61,2,8,173,211,10,77,11,121,95,6,1670,0.025
"459",20114,"Portarlington","laois/offalydivision",NA,476,399,4,42,946,1742,110,415,83,931,841,111,12200,0.184
"460",20111,"Portlaoise","laois/offalydivision",NA,1449,1345,8,126,1918,6616,450,2066,176,2738,3384,812,42176,0.635
"461",20224,"Portlaw","waterforddivision",NA,109,66,2,6,108,213,8,94,12,194,169,9,1980,0.03
"462",20391,"Portmagee","kerrydivision",NA,39,31,0,0,21,63,3,17,0,61,41,14,580,0.009
"463",20269,"Portroe","tipperarydivision",NA,20,28,0,0,66,115,2,36,2,39,68,0,752,0.011
"464",20496,"Portumna","galwaydivision",NA,106,79,0,4,222,481,31,43,8,194,184,22,2748,0.041
"465",2026,"Raheny","d.m.r. northerndivision",NA,603,560,4,404,2179,4470,290,943,193,2706,1924,212,28976,0.436
"466",20644,"Ramelton","donegaldivision",NA,111,98,1,1,43,129,14,30,13,138,175,7,1520,0.023
"467",20624,"Raphoe","donegaldivision",NA,340,119,4,12,217,394,31,29,17,394,277,20,3708,0.056
"468",20151,"Rathangan","kildaredivision",NA,218,56,1,10,353,660,18,37,15,352,259,12,3982,0.06
"469",2014,"Rathcoole","d.m.r. westerndivision",NA,304,444,3,137,1415,3598,155,245,75,1194,732,56,16716,0.252
"470",20313,"Rathcormac Co Cork","cork northdivision",NA,70,147,0,3,149,306,36,169,19,146,173,19,2474,0.037
"471",20120,"Rathdowney","laois/offalydivision",NA,114,86,0,5,236,319,17,33,9,169,195,8,2382,0.036
"472",20201,"Rathdrum","wicklowdivision",NA,161,142,0,21,449,1036,29,161,40,456,251,19,5530,0.083
"473",2015,"Rathfarnham","d.m.r. southerndivision",NA,1323,1296,13,487,5681,11222,648,2930,279,5464,5129,494,69932,1.052
"474",20225,"Rathgormack","waterforddivision",NA,35,24,0,0,69,128,4,9,2,69,19,2,722,0.011
"475",20430,"Rathkeale","limerickdivision",NA,258,226,2,10,413,600,46,70,41,485,476,103,5460,0.082
"476",2017,"Rathmines","d.m.r. southerndivision",NA,999,608,10,349,3999,9706,572,1763,178,3876,3860,260,52360,0.788
"477",20376,"Rathmore Co Kerry","kerrydivision",NA,89,126,0,0,153,252,15,44,6,146,185,5,2042,0.031
"478",20645,"Rathmullen","donegaldivision",NA,45,27,0,1,17,52,4,10,5,93,111,4,738,0.011
"479",20170,"Rathvilly","kilkenny/carlowdivision",NA,45,33,1,3,144,123,6,42,7,149,58,5,1232,0.019
"480",20139,"Rhode","laois/offalydivision",NA,84,47,1,1,195,241,18,51,8,110,91,6,1706,0.026
"481",20602,"Riverstown","sligo/leitrimdivision",NA,42,80,0,2,120,192,23,21,4,80,107,16,1374,0.021
"482",20147,"Robertstown","kildaredivision",NA,227,149,1,33,538,711,23,162,31,421,198,59,5106,0.077
"483",2086,"Rochfortbridge","westmeathdivision",NA,95,108,0,9,234,373,27,52,16,167,328,15,2848,0.043
"484",20674,"Rockcorry","cavan/monaghandivision",NA,28,29,1,0,40,75,2,14,4,30,39,4,532,0.008
"485",2013,"Ronanstown","d.m.r. westerndivision",NA,1661,1126,15,484,2622,12238,449,3466,703,5594,3563,2021,67884,1.022
"486",20611,"Roosky","roscommon/longforddivision",NA,47,63,1,1,164,227,8,16,5,83,73,9,1394,0.021
"487",20501,"Ros Muc","galwaydivision",NA,26,11,0,0,18,37,2,2,3,27,21,1,296,0.004
"488",20514,"Roscommon","roscommon/longforddivision",NA,602,586,0,16,604,1809,196,238,46,742,1523,182,13088,0.197
"489",20274,"Roscrea","tipperarydivision",NA,288,343,1,12,543,928,118,276,82,401,1217,110,8638,0.13
"490",20354,"Rosscarbery","cork westdivision",NA,56,83,0,1,93,228,10,53,3,128,105,8,1536,0.023
"491",20597,"Rosses Point","sligo/leitrimdivision",NA,24,54,0,3,48,157,7,20,6,52,26,1,796,0.012
"492",20179,"Rosslare Harbour","wexforddivision",NA,146,111,1,1,328,463,81,101,15,298,211,68,3648,0.055
"493",20178,"Rosslare Strand","wexforddivision",NA,121,84,1,5,330,392,31,55,16,219,141,18,2826,0.043
"494",20204,"Roundwood","wicklowdivision",NA,95,73,0,6,244,943,19,278,22,312,69,6,4134,0.062
"495",20419,"Roxboro Road","limerickdivision",NA,2371,1624,20,381,4042,13351,731,2637,665,9183,5438,1502,83890,1.262
"496",2019,"Santry","d.m.r. northerndivision",NA,1454,1628,12,760,4140,12347,687,1219,283,5041,3985,344,63800,0.96
"497",20464,"Scariff","claredivision",NA,125,108,0,4,203,397,6,75,15,186,158,20,2594,0.039
"498",20344,"Schull","cork westdivision",NA,105,49,0,1,47,244,18,39,2,207,131,5,1696,0.026
"499",20666,"Scotstown","cavan/monaghandivision",NA,126,88,0,2,60,128,6,11,7,116,92,56,1384,0.021
"500",2042,"Shankill","d.m.r. easterndivision",NA,965,511,11,249,2292,4424,197,1036,185,3489,2429,214,32004,0.482
"501",20452,"Shannon","claredivision",NA,721,545,1,55,447,2084,221,693,109,1465,2076,140,17114,0.258
"502",20685,"Shercock","cavan/monaghandivision",NA,87,75,0,2,95,147,16,19,7,75,108,11,1284,0.019
"503",20278,"Shevry","tipperarydivision",NA,3,20,0,0,44,36,6,7,2,6,30,0,308,0.005
"504",20167,"Shillelagh","wicklowdivision",NA,62,43,0,3,200,264,2,20,6,83,27,0,1420,0.021
"505",20131,"Shinrone","laois/offalydivision",NA,37,34,0,1,95,135,10,16,6,92,146,3,1150,0.017
"506",20578,"Shrule","mayodivision",NA,27,44,1,0,43,64,8,10,1,46,39,1,568,0.009
"507",20454,"Sixmilebridge","claredivision",NA,102,143,3,2,298,558,21,128,19,257,274,32,3674,0.055
"508",2073,"Skerries","d.m.r. northerndivision",NA,347,260,2,57,744,1383,75,154,33,1031,675,53,9628,0.145
"509",20355,"Skibbereen","cork westdivision",NA,323,204,2,12,214,676,115,179,22,543,960,94,6688,0.101
"510",20594,"Skreen","sligo/leitrimdivision",NA,15,21,0,1,44,72,3,4,1,32,13,5,422,0.006
"511",2082,"Slane","meathdivision",NA,93,85,2,4,444,733,15,214,6,263,176,25,4120,0.062
"512",20592,"Sligo","sligo/leitrimdivision",NA,1846,1282,9,133,1953,6878,680,1778,396,5764,6146,770,55270,0.832
"513",20106,"Smear","roscommon/longforddivision",NA,40,30,0,1,76,90,5,4,1,43,57,5,704,0.011
"514",20394,"Sneem","kerrydivision",NA,35,35,0,0,36,94,10,38,4,39,42,3,672,0.01
"515",20484,"Sraith Salach","galwaydivision",NA,4,24,0,0,17,45,2,5,2,21,12,4,272,0.004
"516",20237,"Stoneyford","kilkenny/carlowdivision",NA,21,43,0,1,83,130,36,15,2,60,36,4,862,0.013
"517",2032,"Store Street","d.m.r. north centraldivision",NA,3611,1608,30,1664,3914,63008,2535,6473,1573,7472,27728,2131,243494,3.664
"518",20115,"Stradbally Co Laois","laois/offalydivision",NA,84,138,1,14,287,686,29,2731,22,157,243,7,8798,0.132
"519",20517,"Strokestown","roscommon/longforddivision",NA,80,76,1,1,116,166,15,35,5,102,72,22,1382,0.021
"520",20362,"Stuake","cork westdivision",NA,44,67,0,1,73,121,5,29,7,52,67,5,942,0.014
"521",2070,"Summerhill","meathdivision",NA,56,129,0,12,314,424,30,50,6,178,94,13,2612,0.039
"522",208,"Sundrive Road","d.m.r. southerndivision",NA,1152,843,4,486,3018,6024,304,2540,500,5019,2916,348,46308,0.697
"523",20692,"Swanlinbar","cavan/monaghandivision",NA,24,22,0,0,45,67,3,1,1,37,36,4,480,0.007
"524",20580,"Swinford","mayodivision",NA,216,150,5,5,161,405,35,54,13,366,572,43,4050,0.061
"525",2025,"Swords","d.m.r. northerndivision",NA,1589,1718,19,334,3174,11455,750,3833,276,5028,5217,2232,71250,1.072
"526",20173,"Taghmon","wexforddivision",NA,83,149,1,2,257,373,34,71,8,301,179,21,2958,0.045
"527",2016,"Tallaght","d.m.r. southerndivision",NA,4225,3230,34,1386,10481,24317,1098,6785,1251,13711,10590,4139,162494,2.445
"528",20215,"Tallow","waterforddivision",NA,48,57,1,0,105,123,5,31,7,72,77,19,1090,0.016
"529",20413,"Tarbert","kerrydivision",NA,30,49,0,4,86,107,4,35,6,60,171,2,1108,0.017
"530",20368,"Tarelton","cork westdivision",NA,24,46,0,1,45,188,9,40,3,48,21,2,854,0.013
"531",20527,"Taughmaconnell","roscommon/longforddivision",NA,7,14,0,0,30,34,1,3,1,15,15,0,240,0.004
"532",20276,"Templederry","tipperarydivision",NA,10,5,0,1,12,19,0,0,2,6,9,0,128,0.002
"533",20272,"Templemore","tipperarydivision",NA,244,180,0,8,264,594,42,106,34,400,838,87,5594,0.084
"534",20273,"Templetuohy","tipperarydivision",NA,29,28,1,0,45,74,1,2,5,29,95,1,620,0.009
"535",2018,"Terenure","d.m.r. southerndivision",NA,607,964,5,292,3208,6078,350,1446,182,3116,1789,184,36442,0.548
"536",20234,"Thomastown","kilkenny/carlowdivision",NA,149,149,1,3,169,474,101,156,30,263,405,26,3852,0.058
"537",20243,"Thurles","tipperarydivision",NA,757,880,2,15,836,2319,221,757,119,1283,4772,381,24684,0.371
"538",20342,"Timoleague","cork westdivision",NA,56,59,0,0,39,76,9,34,6,57,179,6,1042,0.016
"539",20168,"Tinahely","wicklowdivision",NA,72,60,0,9,222,219,11,11,6,146,41,9,1612,0.024
"540",20280,"Tipperary","tipperarydivision",NA,608,529,3,28,592,1585,130,514,124,1217,1917,204,14902,0.224
"541",20292,"Togher","cork citydivision",NA,576,655,6,92,950,2794,192,1290,119,1923,2087,229,21826,0.328
"542",20270,"Toomevara","tipperarydivision",NA,20,45,1,2,80,158,6,33,5,59,83,2,988,0.015
"543",20379,"Tralee","kerrydivision",NA,2106,1947,8,161,1666,6699,478,2193,351,2909,10167,1215,59800,0.9
"544",20220,"Tramore","waterforddivision",NA,712,587,3,34,705,1699,98,882,98,1399,2572,117,17812,0.268
"545",2064,"Trim","meathdivision",NA,486,608,1,43,1028,2015,241,402,89,1086,1318,323,15280,0.23
"546",20543,"Tuam","galwaydivision",NA,836,569,1,20,602,1524,169,294,66,1048,1818,342,14578,0.219
"547",20600,"Tubbercurry","sligo/leitrimdivision",NA,184,134,0,5,252,377,40,67,22,290,298,59,3456,0.052
"548",20466,"Tulla","claredivision",NA,82,58,0,4,130,223,16,47,14,103,87,6,1540,0.023
"549",20134,"Tullamore","laois/offalydivision",NA,1266,1108,1,51,1645,4568,446,1165,269,2252,4438,747,35912,0.54
"550",20156,"Tullow","kilkenny/carlowdivision",NA,218,202,3,24,766,923,44,143,25,526,392,47,6626,0.1
"551",20536,"Tulsk","roscommon/longforddivision",NA,19,39,0,1,53,130,16,15,3,34,42,6,716,0.011
"552",20249,"Urlingford","kilkenny/carlowdivision",NA,127,107,1,7,313,503,27,80,17,196,321,5,3408,0.051
"553",20687,"Virginia","cavan/monaghandivision",NA,300,362,3,7,288,531,50,118,21,271,585,117,5306,0.08
"554",20300,"Watercourse Road","cork citydivision",NA,1916,1330,10,457,1786,7752,350,2184,343,5826,6188,401,57086,0.859
"555",20206,"Waterford","waterforddivision",NA,4030,2433,18,593,5866,18095,1005,6134,879,8676,15980,3413,134244,2.02
"556",20311,"Watergrasshill","cork northdivision",NA,38,86,1,0,116,216,20,60,4,81,50,10,1364,0.021
"557",20586,"Westport","mayodivision",NA,655,512,3,18,683,1265,113,234,49,1015,2607,67,14442,0.217
"558",20172,"Wexford","wexforddivision",NA,1174,1450,8,94,2322,6075,524,1877,228,3264,5108,745,45738,0.688
"559",20331,"Whitegate","cork northdivision",NA,41,54,0,1,83,188,8,74,2,124,99,7,1362,0.02
"560",20199,"Wicklow","wicklowdivision",NA,848,721,4,42,1242,2960,299,939,185,1546,2592,329,23414,0.352
"561",20544,"Williamstown","galwaydivision",NA,56,48,0,2,53,117,6,15,4,62,49,7,838,0.013
"562",20493,"Woodford","galwaydivision",NA,17,35,0,0,48,75,7,8,2,35,44,0,542,0.008
"563",20332,"Youghal","cork northdivision",NA,457,351,0,15,506,1332,132,502,47,1183,1261,131,11834,0.178
